clube_id,jogos,aproveitamento,media_gols_feitos,media_gols_sofridos,total_gols_feitos,total_gols_sofridos,vitorias_mandante,derrotas_mandante,vitorias_visitante,derrotas_visitante,clube_nome
285,68,47.55,1.28,1.28,87,87,17,8,9,15,INT
265,68,48.04,1.26,1.28,86,87,23,6,5,20,BAH
266,68,48.04,1.13,1.07,77,73,20,6,8,20,FLU
280,68,37.75,1.13,1.47,77,100,14,10,6,21,RBB
276,68,46.08,1.25,1.22,85,83,19,8,7,18,SAO
356,68,47.55,1.28,1.26,87,86,18,8,8,15,FOR
267,68,39.71,1.29,1.54,88,105,16,10,7,23,VAS
284,68,36.76,1.13,1.4,77,95,15,12,4,19,GRE
264,68,41.67,1.13,1.22,77,83,15,6,7,21,COR
282,68,42.16,1.21,1.34,82,91,15,7,6,17,CAM
283,68,51.96,1.29,0.96,88,65,19,6,9,12,CRU
263,68,62.25,1.56,0.9,106,61,22,5,14,8,BOT
287,68,37.25,1.06,1.46,72,99,15,10,4,20,VIT
275,68,62.75,1.56,0.91,106,62,21,6,17,10,PAL
286,68,34.31,1.1,1.76,75,120,13,12,5,22,JUV
262,68,63.24,1.84,0.94,125,64,22,3,15,10,FLA
292,38,14.91,0.74,1.97,28,75,1,11,1,14,SPT
2305,38,58.77,1.66,1.03,63,39,12,0,6,7,MIR
277,38,41.23,1.18,1.32,45,50,8,5,4,10,SAN
354,38,37.72,0.89,1.05,34,40,7,7,4,10,CEA
